queue,description,division,acw,inQueueFlow,routingRules,callScript,groupRouting,bullseye,MemberGroups,evaluation,callerIDNum,callerIDName,alerting_timeout_seconds,slPercentage,slDuration_ms,enableTranscription,enableManualAssignment,suppressInQueueCallRecording,callBackMode,CallbackLiveVoice,CallbackLiveVoiceFlow,CallbackAnswerMachine,CallbackAnswerMachineFlow
e11,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e12,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e13,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e14,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e15,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e16,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e17,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e18,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e19,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e20,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e21,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e22,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e23,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e24,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e25,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e26,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e27,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e28,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e29,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e30,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e31,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e32,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e33,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
